DATE,MEDLISPRIUT
2016-07-01,325000.0
2016-08-01,324950.0
2016-09-01,325000.0
2016-10-01,326500.0
2016-11-01,328925.0
2016-12-01,331900.0
2017-01-01,337500.0
2017-02-01,349475.0
2017-03-01,358950.0
2017-04-01,359900.0
2017-05-01,359938.0
2017-06-01,362400.0
2017-07-01,364380.0
2017-08-01,359727.0
2017-09-01,359000.0
2017-10-01,353210.0
2017-11-01,354900.0
2017-12-01,358900.0
2018-01-01,362450.0
2018-02-01,375000.0
2018-03-01,388950.0
2018-04-01,393675.0
2018-05-01,395000.0
2018-06-01,395000.0
2018-07-01,393054.0
2018-08-01,388950.0
2018-09-01,386825.0
2018-10-01,380033.0
2018-11-01,379900.0
2018-12-01,380000.0
2019-01-01,386523.0
2019-02-01,395975.0
2019-03-01,405645.0
2019-04-01,411953.0
2019-05-01,410000.0
2019-06-01,412000.0
2019-07-01,411280.0
2019-08-01,408862.0
2019-09-01,403315.0
2019-10-01,399700.0
2019-11-01,399910.0
2019-12-01,412000.0
2020-01-01,423690.0
2020-02-01,434900.0
2020-03-01,443450.0
2020-04-01,429000.0
2020-05-01,437250.0
2020-06-01,454950.0
2020-07-01,469945.0
2020-08-01,485000.0
2020-09-01,490000.0
2020-10-01,495000.0
2020-11-01,502725.0
2020-12-01,531450.0
2021-01-01,549000.0
2021-02-01,549900.0
2021-03-01,535450.0
2021-04-01,552500.0
2021-05-01,575000.0
2021-06-01,569350.0
2021-07-01,565000.0
2021-08-01,564903.0
2021-09-01,549950.0
2021-10-01,550000.0
2021-11-01,567500.0
2021-12-01,588225.0
2022-01-01,594869.0
2022-02-01,609500.0
2022-03-01,624900.0
2022-04-01,639900.0
2022-05-01,643450.0
2022-06-01,640000.0
2022-07-01,615000.0
2022-08-01,595013.0
2022-09-01,580200.0
2022-10-01,575000.0
2022-11-01,565565.0
2022-12-01,568730.0
2023-01-01,577000.0
2023-02-01,592000.0
2023-03-01,602975.0
2023-04-01,619900.0
2023-05-01,629900.0
2023-06-01,625458.0
2023-07-01,625000.0
2023-08-01,612220.0
2023-09-01,600000.0
2023-10-01,599000.0
2023-11-01,597000.0
2023-12-01,594640.0
