DATE,UTSTHPI
1975-01-01,55.14
1975-04-01,58.7
1975-07-01,55.16
1975-10-01,59.9
1976-01-01,61.79
1976-04-01,61.68
1976-07-01,64.87
1976-10-01,64.36
1977-01-01,69.83
1977-04-01,71.06
1977-07-01,74.76
1977-10-01,75.11
1978-01-01,81.53
1978-04-01,84.01
1978-07-01,87.11
1978-10-01,90.21
1979-01-01,94.78
1979-04-01,97.6
1979-07-01,97.84
1979-10-01,99.62
1980-01-01,100.00
1980-04-01,97.75
1980-07-01,104.27
1980-10-01,104.51
1981-01-01,106.23
1981-04-01,109.84
1981-07-01,108.29
1981-10-01,110.48
1982-01-01,106.57
1982-04-01,108.57
1982-07-01,111.91
1982-10-01,113.75
1983-01-01,114.34
1983-04-01,115.52
1983-07-01,111.67
1983-10-01,112.69
1984-01-01,112.29
1984-04-01,114.13
1984-07-01,114.99
1984-10-01,112.18
1985-01-01,116.67
1985-04-01,116.05
1985-07-01,116.39
1985-10-01,115.27
1986-01-01,119.22
1986-04-01,118.91
1986-07-01,118.27
1986-10-01,118.0
1987-01-01,119.34
1987-04-01,117.96
1987-07-01,113.69
1987-10-01,112.72
1988-01-01,112.85
1988-04-01,114.42
1988-07-01,112.14
1988-10-01,112.47
1989-01-01,113.37
1989-04-01,113.24
1989-07-01,115.61
1989-10-01,115.54
1990-01-01,116.55
1990-04-01,118.13
1990-07-01,119.01
1990-10-01,118.94
1991-01-01,122.63
1991-04-01,124.9
1991-07-01,124.99
1991-10-01,127.79
1992-01-01,129.7
1992-04-01,131.74
1992-07-01,133.95
1992-10-01,137.47
1993-01-01,140.44
1993-04-01,144.87
1993-07-01,150.09
1993-10-01,155.66
1994-01-01,161.93
1994-04-01,170.92
1994-07-01,176.64
1994-10-01,179.79
1995-01-01,184.45
1995-04-01,189.59
1995-07-01,196.09
1995-10-01,200.16
1996-01-01,204.75
1996-04-01,207.16
1996-07-01,210.69
1996-10-01,214.48
1997-01-01,218.04
1997-04-01,219.26
1997-07-01,223.58
1997-10-01,227.51
1998-01-01,230.15
1998-04-01,232.36
1998-07-01,234.61
1998-10-01,236.85
1999-01-01,238.12
1999-04-01,237.16
1999-07-01,234.45
1999-10-01,235.5
2000-01-01,236.63
2000-04-01,236.62
2000-07-01,239.08
2000-10-01,242.45
2001-01-01,247.88
2001-04-01,248.42
2001-07-01,248.65
2001-10-01,251.25
2002-01-01,250.82
2002-04-01,250.32
2002-07-01,253.46
2002-10-01,254.79
2003-01-01,255.45
2003-04-01,256.4
2003-07-01,257.12
2003-10-01,257.33
2004-01-01,259.81
2004-04-01,262.27
2004-07-01,265.58
2004-10-01,270.8
2005-01-01,275.74
2005-04-01,284.52
2005-07-01,295.05
2005-10-01,304.79
2006-01-01,315.19
2006-04-01,328.46
2006-07-01,342.99
2006-10-01,356.01
2007-01-01,366.89
2007-04-01,375.86
2007-07-01,380.49
2007-10-01,383.51
2008-01-01,382.53
2008-04-01,376.4
2008-07-01,365.01
2008-10-01,364.19
2009-01-01,361.33
2009-04-01,347.59
2009-07-01,332.86
2009-10-01,328.93
2010-01-01,324.0
2010-04-01,319.34
2010-07-01,322.06
2010-10-01,320.36
2011-01-01,306.11
2011-04-01,299.44
2011-07-01,304.94
2011-10-01,306.35
2012-01-01,305.67
2012-04-01,304.03
2012-07-01,310.46
2012-10-01,315.79
2013-01-01,318.57
2013-04-01,327.56
2013-07-01,335.17
2013-10-01,339.54
2014-01-01,341.59
2014-04-01,348.06
2014-07-01,351.9
2014-10-01,356.05
2015-01-01,359.58
2015-04-01,365.49
2015-07-01,372.72
2015-10-01,377.73
2016-01-01,383.27
2016-04-01,391.9
2016-07-01,401.03
2016-10-01,405.72
2017-01-01,412.89
2017-04-01,426.61
2017-07-01,436.53
2017-10-01,442.4
2018-01-01,451.56
2018-04-01,466.7
2018-07-01,476.39
2018-10-01,482.57
2019-01-01,490.91
2019-04-01,500.81
2019-07-01,508.98
2019-10-01,516.43
2020-01-01,523.29
2020-04-01,532.76
2020-07-01,545.59
2020-10-01,564.61
2021-01-01,587.66
2021-04-01,644.74
2021-07-01,694.16
2021-10-01,720.28
2022-01-01,754.72
2022-04-01,812.56
2022-07-01,807.87
2022-10-01,783.82
2023-01-01,777.49
2023-04-01,794.68
2023-07-01,801.89
