DATE,UTBP1FH
2000-01-01,944.0
2000-02-01,1082.0
2000-03-01,1312.0
2000-04-01,1343.0
2000-05-01,1363.0
2000-06-01,1286.0
2000-07-01,1193.0
2000-08-01,1275.0
2000-09-01,1077.0
2000-10-01,1204.0
2000-11-01,911.0
2000-12-01,836.0
2001-01-01,845.0
2001-02-01,961.0
2001-03-01,1351.0
2001-04-01,1208.0
2001-05-01,1395.0
2001-06-01,1340.0
2001-07-01,1300.0
2001-08-01,1443.0
2001-09-01,1148.0
2001-10-01,1172.0
2001-11-01,902.0
2001-12-01,909.0
2002-01-01,971.0
2002-02-01,868.0
2002-03-01,1215.0
2002-04-01,1398.0
2002-05-01,1531.0
2002-06-01,1710.0
2002-07-01,1458.0
2002-08-01,1555.0
2002-09-01,1291.0
2002-10-01,1349.0
2002-11-01,1117.0
2002-12-01,1118.0
2003-01-01,1113.0
2003-02-01,1223.0
2003-03-01,1419.0
2003-04-01,1796.0
2003-05-01,1576.0
2003-06-01,1651.0
2003-07-01,1557.0
2003-08-01,1688.0
2003-09-01,1682.0
2003-10-01,1797.0
2003-11-01,1264.0
2003-12-01,1243.0
2004-01-01,1142.0
2004-02-01,1156.0
2004-03-01,1704.0
2004-04-01,1865.0
2004-05-01,1792.0
2004-06-01,1895.0
2004-07-01,1819.0
2004-08-01,2268.0
2004-09-01,1804.0
2004-10-01,1725.0
2004-11-01,1657.0
2004-12-01,1308.0
2005-01-01,1497.0
2005-02-01,1476.0
2005-03-01,2148.0
2005-04-01,2199.0
2005-05-01,2336.0
2005-06-01,2380.0
2005-07-01,1898.0
2005-08-01,2444.0
2005-09-01,2341.0
2005-10-01,1981.0
2005-11-01,1862.0
2005-12-01,1688.0
2006-01-01,1645.0
2006-02-01,1453.0
2006-03-01,2125.0
2006-04-01,1908.0
2006-05-01,2162.0
2006-06-01,2452.0
2006-07-01,1937.0
2006-08-01,2131.0
2006-09-01,1817.0
2006-10-01,1862.0
2006-11-01,1612.0
2006-12-01,1350.0
2007-01-01,1412.0
2007-02-01,1411.0
2007-03-01,1633.0
2007-04-01,1735.0
2007-05-01,1884.0
2007-06-01,1811.0
2007-07-01,1709.0
2007-08-01,1717.0
2007-09-01,1050.0
2007-10-01,1056.0
2007-11-01,816.0
2007-12-01,459.0
2008-01-01,477.0
2008-02-01,571.0
2008-03-01,690.0
2008-04-01,834.0
2008-05-01,995.0
2008-06-01,781.0
2008-07-01,723.0
2008-08-01,604.0
2008-09-01,553.0
2008-10-01,548.0
2008-11-01,501.0
2008-12-01,280.0
2009-01-01,240.0
2009-02-01,240.0
2009-03-01,455.0
2009-04-01,648.0
2009-05-01,645.0
2009-06-01,735.0
2009-07-01,891.0
2009-08-01,672.0
2009-09-01,708.0
2009-10-01,622.0
2009-11-01,465.0
2009-12-01,515.0
2010-01-01,438.0
2010-02-01,551.0
2010-03-01,846.0
2010-04-01,880.0
2010-05-01,711.0
2010-06-01,551.0
2010-07-01,577.0
2010-08-01,628.0
2010-09-01,597.0
2010-10-01,517.0
2010-11-01,432.0
2010-12-01,393.0
2011-01-01,362.0
2011-02-01,360.0
2011-03-01,489.0
2011-04-01,537.0
2011-05-01,770.0
2011-06-01,682.0
2011-07-01,737.0
2011-08-01,713.0
2011-09-01,556.0
2011-10-01,578.0
2011-11-01,508.0
2011-12-01,430.0
2012-01-01,515.0
2012-02-01,516.0
2012-03-01,705.0
2012-04-01,887.0
2012-05-01,996.0
2012-06-01,908.0
2012-07-01,807.0
2012-08-01,1020.0
2012-09-01,832.0
2012-10-01,942.0
2012-11-01,823.0
2012-12-01,541.0
2013-01-01,568.0
2013-02-01,734.0
2013-03-01,972.0
2013-04-01,1063.0
2013-05-01,1152.0
2013-06-01,1168.0
2013-07-01,1109.0
2013-08-01,1157.0
2013-09-01,1025.0
2013-10-01,1117.0
2013-11-01,784.0
2013-12-01,647.0
2014-01-01,757.0
2014-02-01,759.0
2014-03-01,1056.0
2014-04-01,997.0
2014-05-01,1093.0
2014-06-01,1122.0
2014-07-01,987.0
2014-08-01,1027.0
2014-09-01,1031.0
2014-10-01,1006.0
2014-11-01,796.0
2014-12-01,800.0
2015-01-01,723.0
2015-02-01,786.0
2015-03-01,1103.0
2015-04-01,1160.0
2015-05-01,1179.0
2015-06-01,1274.0
2015-07-01,1345.0
2015-08-01,1406.0
2015-09-01,1246.0
2015-10-01,1102.0
2015-11-01,1023.0
2015-12-01,1025.0
2016-01-01,951.0
2016-02-01,1119.0
2016-03-01,1379.0
2016-04-01,1329.0
2016-05-01,1422.0
2016-06-01,1650.0
2016-07-01,1329.0
2016-08-01,1495.0
2016-09-01,1277.0
2016-10-01,1283.0
2016-11-01,1340.0
2016-12-01,1028.0
2017-01-01,916.0
2017-02-01,1157.0
2017-03-01,1671.0
2017-04-01,1390.0
2017-05-01,1561.0
2017-06-01,1913.0
2017-07-01,1580.0
2017-08-01,1911.0
2017-09-01,1419.0
2017-10-01,1650.0
2017-11-01,1368.0
2017-12-01,1119.0
2018-01-01,1366.0
2018-02-01,1374.0
2018-03-01,1548.0
2018-04-01,1753.0
2018-05-01,1900.0
2018-06-01,1993.0
2018-07-01,1652.0
2018-08-01,1773.0
2018-09-01,1476.0
2018-10-01,1567.0
2018-11-01,1207.0
2018-12-01,1200.0
2019-01-01,1175.0
2019-02-01,1199.0
2019-03-01,1299.0
2019-04-01,1534.0
2019-05-01,1429.0
2019-06-01,1597.0
2019-07-01,1593.0
2019-08-01,1667.0
2019-09-01,1344.0
2019-10-01,1702.0
2019-11-01,1317.0
2019-12-01,1166.0
2020-01-01,1469.0
2020-02-01,1486.0
2020-03-01,1690.0
2020-04-01,1465.0
2020-05-01,1402.0
2020-06-01,1906.0
2020-07-01,1836.0
2020-08-01,2024.0
2020-09-01,2082.0
2020-10-01,2144.0
2020-11-01,1953.0
2020-12-01,1693.0
2021-01-01,2050.0
2021-02-01,1858.0
2021-03-01,2715.0
2021-04-01,2891.0
2021-05-01,2423.0
2021-06-01,2602.0
2021-07-01,1917.0
2021-08-01,2396.0
2021-09-01,2298.0
2021-10-01,1683.0
2021-11-01,1776.0
2021-12-01,1654.0
2022-01-01,1873.0
2022-02-01,1877.0
2022-03-01,2568.0
2022-04-01,2220.0
2022-05-01,1830.0
2022-06-01,1822.0
2022-07-01,1499.0
2022-08-01,1322.0
2022-09-01,1197.0
